FTG SKU No. ,Furniture To Go Stock Name,From 20% off,Full List,HD,
1010101,Copenhagen 3 Drawer Bedside in White,£30.28,£37.84,£42.71,
1010102,Copenhagen 3 Drawer Bedside in Cream/Pine,£30.28,£37.84,£42.71,
1010111,Copenhagen 3 Drawer Bedside in Pine,£33.67,£42.08,£46.26,
1010201,Copenhagen 5 Drawer Narrow Chest in White,£46.51,£58.14,£59.86,
1010202,Copenhagen 5 Drawer Narrow Chest in Cream/Pine,£46.51,£58.14,£59.86,
1010211,Copenhagen 5 Drawer Narrow Chest in Pine,£45.88,£57.35,£59.05,
1010301,Copenhagen 2 + 4 Drawer Chest in White,£66.44,£83.05,£84.90,
1010302,Copenhagen 2 + 4 Drawer Chest in Cream/Pine,£64.32,£80.40,£82.19,
1010311,Copenhagen 2 + 4 Drawer Chest in Pine,£65.45,£81.81,£83.64,
1010401,Copenhagen 2 + 3 + 4 Drawer Extra wide chest in White,£80.66,£100.83,£103.07,
1010402,Copenhagen 2 + 3 + 4 Drawer Extra wide chest in Cream/Pine,£80.66,£100.83,£103.07,
1010411,Copenhagen 2 + 3 + 4 Drawer Extra wide chest in Pine,£84.96,£106.20,£108.56,
1010501,Copenhagen 2 + 3 Deep Drawer Chest in White,£49.00,£61.25,£62.62,
1010511,Copenhagen 2 + 3 Deep Drawer Chest in Pine,£61.90,£77.38,£83.56,
1010602,Copenhagen 2 + 4 Deep Drawer Chest in Cream/Pine ,£71.42,£89.28,£98.20,
1010701,Copenhagen Single Dressing Table in White,£52.38,£65.48,£76.02,
1010702,Copenhagen Single Dressing Table in Cream/Pine,£52.38,£65.48,£76.02,
1010801,Copenhagen Blanket Box in White,£38.53,£48.16,£51.36,
1010802,Copenhagen Blanket Box in Cream/Pine,£40.85,£51.06,£53.78,
1010811,Copenhagen Blanket Box in Pine,£40.72,£50.90,£53.64,
1012201,Copenhagen 3 Door 4 Drawer Wardrobe in White,£153.61,£192.01,£196.29,
1012202,Copenhagen 3 Door 4 Drawer Wardrobe in Cream/Pine,£152.40,£190.50,£194.75,
1012211,Copenhagen 3 Door 4 Drawer Wardrobe in Pine,£178.12,£222.65,£227.62,
1012501,Copenhagen 2 Door 2 Drawer Combi Wardrobe in White,£93.36,£116.70,£119.30,
1012502,Copenhagen 2 Door 2 Drawer Combi Wardrobe in Cream/Pine,£93.36,£116.70,£119.30,
1012511,Copenhagen 2 Door 2 Drawer Combi Wardrobe in Pine,£91.81,£114.77,£117.33,
1012901,Copenhagen 2 door 2 drawer Wardrobe in White,£117.14,£146.43,£149.69,
1012902,Copenhagen 2 door 2 drawer Wardrobe in Cream/Pine,£117.14,£146.43,£149.69,
1012911,Copenhagen 2 door 2 drawer Wardrobe in Pine,£126.22,£157.77,£161.29,
1014101,Copenhagen Mirror White,£27.54,£34.43,£38.75,
1020101,Scandi 3 Drawer Bedside in White,£23.90,£29.88,£30.54,
1020111,Scandi 3 Drawer Bedside in Pine,£23.90,£29.88,£30.54,
1020201,Scandi 2 + 4 Drawer Chest in White,£57.14,£71.43,£74.76,
1020211,Scandi 2 + 4 Drawer Chest in Pine,£57.14,£71.43,£74.76,
1020401,Scandi 6 + 6 Drawer Extra wide chest in White,£96.89,£121.11,£123.89,
1022101,Scandi 2 Door 2 Drawer Combi Wardrobe in White,£83.93,£104.91,£107.25,
1022111,Scandi 2 Door 2 Drawer Combi Wardrobe in Pine,£83.93,£104.91,£107.25,
1022311,Scandi 2 Door Wardrobe with 3 drawers in Pine,£99.98,£124.98,£129.14,
1040101,Florence 3 drawer bedside in White,£40.46,£50.58,£53.88,
1040120,Florence 3 drawer bedside in Black,£42.24,£52.79,£55.76,
1040152,Florence 3 drawer bedside in Soft Grey,£42.24,£52.79,£55.76,
1040201,Florence chest with 3 drawers in White,£70.21,£87.76,£89.72,
1040220,Florence chest with 3 drawers in Black,£72.57,£90.71,£92.74,
1040252,Florence chest with 3 drawers in Soft Grey,£72.57,£90.71,£92.74,
1040301,Florence 4+2 chest in White,£86.80,£108.50,£110.92,
1040320,Florence 4+2 chest in Black,£90.54,£113.18,£115.70,
1040352,Florence 4+2 chest in Soft Grey,£90.54,£113.18,£115.70,
1040401,Florence Dressing Table with 3 drawers in White,£61.45,£76.81,£78.53,
1040420,Florence Dressing Table with 3 drawers in Black,£62.93,£78.66,£80.42,
1040452,Florence Dressing Table with 3 drawers in Soft Grey,£62.93,£78.66,£80.42,
1040652,Florence 3+3 Chest in Soft Grey,£133.53,£166.91,£170.63,
1042201,Florence Double Robe w/ 2 drw. White,£125.62,£157.03,£160.53,
1042220,Florence Double Robe w/ 2 drw. Black,£129.94,£162.43,£166.05,
1042252,Florence Double Robe w/ 2 drw. Soft Grey,£129.94,£162.43,£166.05,
1042420,Florence 3 Door 4 Drawer wardrobe with mirror in Black,£191.75,£239.68,£245.03,
1042452,Florence 3 Door 4 Drawer wardrobe with mirror in Soft Grey,£191.75,£239.68,£245.03,
1609000,Bed slats single beds Bed (90 cm wide),£16.62,£20.78,£27.20,
1614000,Bed slats for Double Bed (140 cm wide),£17.57,£21.96,£28.12,
1616000,Bed slats for Kingsize Bed (160 cm wide),£19.55,£24.44,£30.04,
1618000,Bed slats for Super Kingsize Bed (180 cm wide),£22.81,£28.51,£33.22,
3300120,4 You Bar Table Black Ash,£96.10,£120.12,£122.80,
3300121,4 You Bar Table White,£94.64,£118.30,£120.94,
3300147,4 You Bar table Sonama Oak,£96.29,£120.36,£123.05,
3300320,Designa Extending Dining Table 120cm ext to 187cm Black Ash,£133.73,£167.16,£170.89,
4010143P,Imperial Tall Glazed 1 Door 2 Drawer Narrow Cabinet in Dark Mahogany Melamine,£109.86,£137.33,£140.39,
4011043P,Imperial Tall 1 Door 2 Drawer Narrow Cabinet in Dark Mahogany Melamine,£73.45,£91.82,£93.86,
4011143P,Imperial Tall 2 Drawer Narrow Cabinet with Open Shelving in Dark Mahogany Melamine,£58.88,£73.60,£75.24,
4013143P,Imperial 2 Door 3 Drawer Glazed Display Cabinet in Dark Mahogany Melamine,£125.82,£157.28,£160.79,
4014143P,Imperial 2 Door 5 Drawer Sideboard in Dark Mahogany Melamine,£107.12,£133.90,£136.89,
4014243P,Imperial 3 Door Glazed Sideboard in Dark Mahogany Melamine,£97.63,£122.04,£124.76,
4015143P,Imperial Wide 4 Drawer TV Cabinet in Dark Mahogany Melamine,£77.04,£96.30,£98.45,
4016143P,Imperial Wall Shelving Unit in Dark Mahogany Melamine,£37.99,£47.48,£48.54,
4017043P,Imperial Coffee Table in Dark Mahogany Melamine,£67.97,£84.96,£86.85,
4020144P,Chelsea Living Tall Glazed Narrow Display unit (RHD) in white with an Truffle Oak Trim,£155.93,£194.91,£199.26,
4020244P,Chelsea Living Tall Glazed Narrow Display unit (LHD) in white with an Truffle Oak Trim,£156.13,£195.16,£199.51,
4020344P,Chelsea Wall Mirror 164 cm Wide in White,£53.01,£66.26,£67.74,
4020444P,Chelsea Wall Mirror 109.5 cm Wide in White,£37.03,£46.29,£47.32,
4020544,Chelsea Living Tall Glazed Wide Display unit (RHD) in white with an Truffle Oak Trim,£191.98,£239.97,£245.32,
4020644P,Chelsea Living Tall Glazed Wide Display unit (LHD) in white with an Truffle Oak Trim,£191.98,£239.97,£245.32,
4023244P,Chelsea Living Low Display Cabinet 85 cm wide in white with an Truffle Oak Trim,£150.59,£188.24,£192.44,
4023344P,Chelsea Living Low Display Cabinet 109 cm wide in white with an Truffle Oak Trim,£175.88,£219.85,£224.75,
4023444P,Chelsea Living 1 Drawer 2 Door Sideboard 85 cm Wide in white with an Truffle Oak Trim,£98.81,£123.52,£126.27,
4023544,Chelsea Living 1 drawer 2 door sideboard in white with an Truffle Oak Trim,£114.58,£143.23,£146.42,
4024044,Chelsea Living 2 drawer 3 door sideboard in white with an Truffle Oak Trim,£172.97,£216.21,£221.03,
4024244P,Chelsea Living 3 Door Glazed Sideboard in white with an Truffle Oak Trim,£152.41,£190.52,£194.77,
4025544,Chelsea Living Wide TV Unit in white with an Truffle Oak Trim,£100.93,£126.16,£128.97,
4025144P,Chelsea Living Wide 3 door TV Unit in white with an Truffle Oak Trim,£101.05,£126.31,£129.13,
4026044,Chelsea Living Wall Shelf in white with an Truffle Oak Trim,£29.03,£36.29,£39.27,
4026544P,Chelsea Living 1 Door Wall Cupboard in white with an Truffle Oak Trim,£40.30,£50.37,£51.50,
4026644P,Chelsea Living 1 Door Wall Cupboard (front trim) in white with an Truffle Oak Trim,£40.90,£51.12,£52.26,
4027044,Chelsea Living Designer Coffee Table in white with an Truffle Oak Trim,£62.61,£78.26,£80.01,
4027144P,Chelsea Living Small Designer Coffee Table in white with an Truffle Oak Trim,£42.59,£53.24,£54.43,
4027544,Chelsea Living Extending Dining Table in white with an Truffle Oak Trim,£179.37,£224.21,£229.21,
4022044,Chelsea Bedroom 2 door robe in white with an Truffle Oak Trim,£155.39,£194.24,£198.57,
4022244,Chelsea Bedroom 3 door Robe with Mirror in white with an Truffle Oak Trim,£286.38,£357.98,£365.96,
4022344P,Chelsea Bedroom 4 Door wardrobe with mirrors in white with an Truffle Oak Trim,£385.09,£481.36,£492.09,
4024444,Chelsea Bedroom 4 drawer chest in white with an Truffle Oak Trim,£115.83,£144.78,£148.01,
4028044,Chelsea Bedroom Desk/Dressing table in white with an Truffle Oak Trim,£84.55,£105.69,£108.05,
4029144,Chelsea Bedroom Double Bed in white with an Truffle Oak Trim,£163.44,£204.30,£208.85,
4029244P,Chelsea Bedroom Kingsize Bed in white with an Truffle Oak Trim,£177.30,£221.62,£226.56,
4029344P,Chelsea Bedroom Super Kingsize Bed in white with an Truffle Oak Trim,£190.81,£238.51,£243.83,
4029444,Chelsea Bedroom Kingsize Bed in white with an Oak trim with Lift Up Function.,£393.47,£491.83,£502.80,
4029544P,Chelsea Bedroom Bedside Extension for bed in white with an Truffle Oak Trim,£46.98,£58.72,£60.03,
4029644,Chelsea Bedroom 2 drawer bedside in white with an Truffle Oak Trim,£42.08,£52.60,£53.78,
4030145P,Kensington Tall Narrow 2 Door Glazed Display Cabinet (LHD),£114.32,£142.90,£146.08,
4030245P,Kensington Tall Narrow 2 Door Glazed Display Cabinet (RHD),£114.32,£142.90,£146.08,
4030645,Kensington Tall 3 door display cabinet in Oak,£184.31,£230.39,£235.53,
4031045P,Kensington Tall Narrow 2 Door Cupboard,£112.66,£140.82,£143.96,
4032045P,Kensington Tall Wide 2 Door Wardrobe,£165.68,£207.10,£211.72,
4032245,Kensington 3 Door Wardrobe with Centre Mirror doorin Oak,£327.61,£409.52,£418.65,
4032345,Kensington 4 Door Wardrobe with 2 Mirror doors in Oak,£402.30,£502.88,£514.10,
4033045,Kensington Living 4 door 1 drawer cupboard in Oak,£116.83,£146.03,£149.29,
4033145P,Kensington 4 Door Cabinet,£113.33,£141.66,£144.82,
4033245P,Kensington 3 Door Glazed Cabinet ,£127.18,£158.97,£162.52,
4033345P,Kensington 2 Door 3 Drawer Cabinet ,£152.85,£191.06,£195.33,
4033445,Kensington 5 Drawer Chest in Oak,£151.79,£189.74,£193.97,
4034045P,Kensington Wide 4 Drawer 4 door Sideboard,£214.69,£268.36,£274.34,
4034145,Kensington Living 2 door 3+3 drawer sideboard in Oak,£205.99,£257.49,£263.23,
4034245P,Kensington 3 Door 3 Drawer Sideboard,£177.77,£222.21,£227.16,
4034345P,Kensington 3 Door 3 Drawer Glazed Sideboard,£181.28,£226.60,£231.65,
4034445,Kensington 4 + 4 Wide Chest of Drawers in Oak.,£205.82,£257.27,£263.01,
4035145,Kensington Wide 3 drawer TV unit  in Oak,£115.45,£144.31,£147.53,
4035245P,Kensington 2 Door 1 Drawer Wide TV Cabinet,£102.19,£127.74,£130.59,
4036145P,Kensington 150CM Wall Shelf,£26.16,£32.69,£36.47,
4037145,Kensington Coffee Table in Oak,£64.36,£80.45,£82.24,
4037545,Kensington Extending Dining Table in Oak,£136.54,£170.67,£174.48,
4039145,Kensington 140cm Double Bed frame with lift up frame inc slats in Oak.,£411.09,£513.86,£525.32,
4039245,Kensington 160cm Double Bed frame with lift up frame inc slats in Oak.,£426.49,£533.11,£545.00,
4039545,Kensington 2 Drawer Bedside Cabinet LH Drawer (wall fixing) in Oak.,£53.95,£67.44,£68.95,
4039645,Kensington 2 Drawer Bedside Cabinet RH Drawer (wall fixing) in Oak.,£53.95,£67.44,£68.95,
4050721,4 You Low wide Bookcase in Pearl White,£24.63,£30.79,£34.99,
4050747,4 You Low Wide Bookcase in Sonama Oak,£26.22,£32.78,£36.54,
4050221,4 You Medium Wide Bookcase In Pearl White,£32.39,£40.48,£43.78,
4050247,4 You Medium Wide Bookcase in Sonama Oak,£33.18,£41.48,£44.56,
4059321,4 You Tall Wide Bookcase In Pearl White,£49.20,£61.50,£64.10,
4059347,4 You Tall Wide Bookcase in Sonama Oak,£50.99,£63.74,£65.84,
4059421,4 You Low Narrow Bookcase in Pearl White,£16.75,£20.94,£27.32,
4059447,4 You Low Narrow Bookcase in Sonama Oak,£17.75,£22.19,£28.29,
4059521,4 You Medium Narrow Bookcase in Pearl White,£21.18,£26.48,£31.64,
4059547,4 You Medium Narrow Bookcase in Sonama Oak,£22.58,£28.22,£32.99,
4050621,4 You Tall Narrow Bookcase in Pearl White,£32.66,£40.82,£43.74,
4050647,4 You Tall Narrow Bookcase in Sonama Oak,£34.45,£43.06,£45.48,
4050321,4 You 2 Door Cupboard in Pearl White,£37.35,£46.69,£49.53,
4050347,4 You 2 Door Cupboard in Sonama Oak,£39.74,£49.68,£51.85,
4050521,4 You 3 Door 2 Drawer Wide Cupboard in Pearl White,£58.09,£72.61,£74.23,
4050547,4 You 3 Door 2 Drawer Wide Cupboard in Sonama Oak,£62.27,£77.84,£79.57,
4050821,4 You 1 Drawer 1 Door Cupboard in Pearl White,£30.96,£38.70,£41.15,
4050847,4 You 1 Drawer 1 Door Cupboard in Sonama Oak,£32.85,£41.06,£42.99,
4050921,4 You 2 Door 2 Drawer Cupboard in Pearl White,£45.36,£56.69,£58.80,
4050947,4 You 2 Door 2 Drawer Cupboard in Sonama Oak,£48.74,£60.92,£62.28,
4051021,4 You 4 Drawer Chest in Pearl White,£59.15,£73.94,£75.58,
4051047,4 You 4 Drawer Chest in Sonama Oak,£63.83,£79.78,£81.56,
4051121,4 You 7 drawer narrow chest in Pearl White,£50.62,£63.27,£64.69,
4051147,4 You 7 Drawer narrow chest in Sonama Oak,£55.20,£69.00,£70.54,
4051221,4 You 2 Drawer low chest/ Bedside in Pearl White,£21.85,£27.31,£32.28,
4051247,4 You 2 Drawer low chest/ Bedside in Sonama Oak,£23.44,£29.30,£33.83,
4051321,4 You Tall 2 Door 2 Drawer Cupboard in Pearl White,£53.55,£66.94,£69.35,
4051421,4 You Tall 3 Door 2 Drawer Cupboard in Pearl White,£68.87,£86.09,£88.01,
4051521,4 You Corner Cupboard in Pearl White,£45.97,£57.46,£58.74,
4051547,4 You Corner Cupboard in Sonama Oak,£47.96,£59.95,£61.29,
4051721,4 You Room Divider in Pearl White ,£49.40,£61.75,£65.05,
4051747,4 You Room Divider in Sonama Oak,£55.42,£69.28,£70.97,
4051847,4 You Wide Nest of Tables 1+2,£40.58,£50.72,£54.16,
4051947,4 You Small Nest of Tables 1+1+1,£36.98,£46.23,£48.53,
4052021,4 You 2 door wardrobe in Pearl White,£77.09,£96.36,£103.33,
4052221,4 You Single bed in Pearl White,£74.90,£93.63,£95.72,
4058247,4 You Coffee Table In Sonama Oak ,£43.25,£54.06,£55.27,
4058447,4 You Wide Coffee Table/ TV Unit In Sonama Oak,£34.17,£42.72,£44.58,
4058547,4 You Coffee Table/TV Unit In Sonama Oak,£29.80,£37.25,£40.02,
