ItemNumber,Qty On Hand,Name,Next Delivery Date
1010111,-29,Copenhagen 3 Drawer Bedside in Pine,24/08/2020
1010211,-13,Copenhagen 5 Drawer Narrow Chest in Pine,24/08/2020
1010311,-3,Copenhagen 2 + 4 Drawer Chest in Pine,24/08/2020
1010411,64,Copenhagen 2 + 3 + 4 Drawer Extra wide chest in Pine,
1010511,-2,Copenhagen 2 + 3 Deep Drawer Chest in Pine,Awaiting delivery date
1010811,-22,Copenhagen Blanket Box in Pine,24/08/2020
1012511,16,Copenhagen 2 Door 2 Drawer Combi Wardrobe in Pine,
1012211,23,Copenhagen 3 Door 4 Drawer Wardrobe in Pine,
1010101,-6,Copenhagen 3 Drawer Bedside in White,24/08/2020
1010201,-9,Copenhagen 5 Drawer Narrow Chest in White,24/08/2020
1010301,-10,Copenhagen 2 + 4 Drawer Chest in White,24/08/2020
1010401,-31,Copenhagen 2 + 3 + 4 Drawer Extra wide chest in White,24/08/2020
1010501,23,Copenhagen 2 + 3 Deep Drawer Chest in White,
1010801,4,Copenhagen Blanket Box in White,
1012501,-4,Copenhagen 2 Door 2 Drawer Combi Wardrobe in White,31/08/2020
1012201,-7,Copenhagen 3 Door 4 Drawer Wardrobe in White,31/08/2020
1013201,-2,Copenhagen 4'6 ft Double Bed Frame White,Awaiting delivery date
1020111,18,Scandi 3 Drawer Bedside in Pine,
1020211,-1,Scandi 2 + 4 Drawer Chest in Pine,Awaiting delivery date
1022111,10,Scandi 2 Door 2 Drawer Combi Wardrobe in Pine,
1022311,0,Scandi 2 Door Wardrobe with 3 drawers in Pine,Awaiting delivery date
1022511,-3,Scandi 3 Door 5 Drawer Wardrobe with Mirror in Pine,Awaiting delivery date
1020101,45,Scandi 3 Drawer Bedside in White,
1020201,13,Scandi 2 + 4 Drawer Chest in White,
1020401,16,Scandi 6 + 6 Drawer Extra wide chest in White,
1022101,-2,Scandi 2 Door 2 Drawer Combi Wardrobe in White,Awaiting delivery date
1503501,7,KIDS World Underbed Drawer White ,
1034212,-2,Terra 4+2 deep drawer Pine/white,Awaiting delivery date
1034312,-1,Terra 6+3 drawer Pine/white,Awaiting delivery date
1014101,46,Copenhagen Mirror White,
1500604,10,KIDS World Print Pocket Blue,
1500603,6,KIDS World Print Pocket Pink,
1500703,4,KIDS World Tunnel Pink,
1500605,11,KIDS World Pocket Blue ,
