SKU,Product ID,Ranges,Product Name,Description,Finish,EAN,Width (mm),Height (mm),Depth (mm),Kg,Qty,BP 1,BP2,BP 3,BP 4,BP 5,BP 6,Assembly Instructions,Image URL1,Image URL2,Image URL3,Image URL4,Image URL5,Image URL6,Image URL7,Image URL8,Image URL9,Image URL10,Image URL11,Image URL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010101,3022030050325F,Copenhagen,3 Drawer Bedside White,"3 Drawer Bedside in attractive white MDF is an elegantly designed storage solution. It will comfortably hold a lamp, alarm clock and your favourite book or kindle on top and there is ample storage in the 3 drawers. All drawers are on easy glide runners with cam lok system on fronts. Modern design in solid white MDF finished with a smooth lacquer, makes this an attractive choice for any bedroom. Fits perfectly beside our matching single or double bed.","White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664210,440,579,384,14.0,1,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/j2xzl2a60trpgrt/1010101_ai.pdf?dl=0,https://www.dropbox.com/s/j097qu2uzzij9mc/1010101_1.jpg?dl=0,https://www.dropbox.com/s/3jmbivzh4ixe7vx/1010101_2.jpg?dl=0,https://www.dropbox.com/s/4bt87j03fk95apk/1010101_3.jpg?dl=0,https://www.dropbox.com/s/v92zuuf4onp1z9s/1010101_4.jpg?dl=0,https://www.dropbox.com/s/a1g6pymmc7d6jyn/1010101_5.jpg?dl=0,https://www.dropbox.com/s/4ww7ijxxv5148of/1010101_6.jpg?dl=0,https://www.dropbox.com/s/1fln9o7dfbjkws0/1010101_7.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010102,3022030246325F,Copenhagen,3 Drawer Bedside Cream and Pine,"3 Drawer Bedside in attractive Cream MDF/Pine is an elegantly designed storage solution. It will comfortably hold a lamp, alarm clock and your favourite book or kindle on top and there is ample storage in the 3 drawers. All drawers are on easy glide runners with cam lok system on fronts. Modern design in solid Creme MDF/Pine finished with a smooth lacquer, makes this an attractive choice for any bedroom. Fits perfectly beside our matching single or double bed.","Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681354,440,579,384,14.0,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/hlegpyuasdd2bxf/1010102_ai.pdf?dl=0,https://www.dropbox.com/s/r2gj258tcz29bem/1010102_1.jpg?dl=0,https://www.dropbox.com/s/xu84no7r4yfzii2/1010102_2.jpg?dl=0,https://www.dropbox.com/s/sskdarw1y5ow2rw/1010102_3.jpg?dl=0,https://www.dropbox.com/s/rd70hbzlbzmw8kh/1010102_4.jpg?dl=0,https://www.dropbox.com/s/z0w367mskp9k3f9/1010102_5.jpg?dl=0,https://www.dropbox.com/s/13oy5ji2g80s12q/1010102_6.jpg?dl=0,https://www.dropbox.com/s/p4wu6c45lnfmp3s/1010102_7.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010111,3022030034325F,Copenhagen,3 Drawer Bedside Pine,"3 Drawer Bedside in Pine is an elegantly designed storage solution. It will comfortably hold a lamp, alarm clock and your favourite book or kindle on top and theres plenty more room in the 3 drawers. All drawers are on easy glide runners with cam lok system on fronts. Traditional design in solid pine and finished with a smooth stained lacquer makes this an attractive choice for any bedroom. Fits perfectly beside our matching single or double bed.","Pine  (excludes backs, drawer base and drawer sides)",5706036664067,440,579,384,10.1,1,Solid Antique lacquered pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/umy4w7am6lr3atq/1010111_ai.pdf?dl=0,https://www.dropbox.com/s/1rn3wt610qephr7/1010111_1.jpg?dl=0,https://www.dropbox.com/s/kayrhv173gx0nmb/1010111_2.jpg?dl=0,https://www.dropbox.com/s/ujbs96smcjazep1/1010111_3.jpg?dl=0,https://www.dropbox.com/s/2428jwjf65mbju1/1010111_4.jpg?dl=0,https://www.dropbox.com/s/xj197yz7cd8yibi/1010111_5.jpg?dl=0,https://www.dropbox.com/s/rriydp5txr1i2oc/1010111_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010201,3022050050325F,Copenhagen,5 Drawer Narrow Chest White,5 Drawer Narrow Chest in attractive white MDF is an elegant space saving storage solution for the bedroom where space is limited. The narrow width means it can tuck away in a corner but its 5 easy gliding drawers offer plenty of storage space. Modern design in solid white MDF and finished with a smooth lacquer making this an attractive choice for any bedroom. For a single bedroom why not add our matching combi wardrobe and single bed.,"White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664227,440,899,384,20.5,1,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/q8ddq8duqcmo1nk/1010201_ai.pdf?dl=0,https://www.dropbox.com/s/q4q3t8ts8x5vuxs/1010201_1.jpg?dl=0,https://www.dropbox.com/s/ceuo0xcupspk54g/1010201_2.jpg?dl=0,https://www.dropbox.com/s/57i0uq0642tqj0k/1010201_3.jpg?dl=0,https://www.dropbox.com/s/guscrjubdfe2iaq/1010201_4.jpg?dl=0,https://www.dropbox.com/s/5l8elbpv9ql4oi3/1010201_5.jpg?dl=0,https://www.dropbox.com/s/lr41b42vmqffa5b/1010201_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010202,3022050246325F,Copenhagen,5 Drawer Narrow Chest Cream and Pine,5 Drawer Narrow Chest in attractive Cream MDF/Pine is an elegant space saving storage solution for the bedroom where space is limited. The narrow width means it can tuck away in a corner but its 5 easy gliding drawers offer plenty of storage space. Modern design in solid white MDF and finished with a smooth lacquer making this an attractive choice for any bedroom. For a single bedroom why not add our matching combi wardrobe and single bed.,"Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681385,440,899,384,20.5,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/khe0d7ych2lj0fa/1010202_ai.pdf?dl=0,https://www.dropbox.com/s/h6gow36st1dawyb/1010202_1.jpg?dl=0,https://www.dropbox.com/s/czgt3kc7b7gnjga/1010202_2.jpg?dl=0,https://www.dropbox.com/s/a56kenxm7qyovjf/1010202_3.jpg?dl=0,https://www.dropbox.com/s/sl0v41rdi69s76z/1010202_4.jpg?dl=0,https://www.dropbox.com/s/mfmj9rq01rrehxa/1010202_5.jpg?dl=0,https://www.dropbox.com/s/vr64x16sd357pil/1010202_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010211,3022050034325F,Copenhagen,5 Drawer  Narrow Chest Pine,5 Drawer Narrow Chest in Pine is an elegant space saving storage solution for the bedroom where space is limited. The narrow width means it can tuck away in a corner but its 5 easy gliding drawers offer plenty of storage space. Traditional design in solid pine and finished with a smooth stained lacquer makes this an attractive choice for any bedroom. For a single bedroom why not add our matching combi wardrobe and single bed.,"Pine  (excludes backs, drawer base and drawer sides)",5706036664074,440,899,384,15.3,1,Solid Antique lacquered pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/8zmcpqt1ctuavzz/1010211_ai.pdf?dl=0,https://www.dropbox.com/s/nq8gkykq6b246kc/1010211_1.jpg?dl=0,https://www.dropbox.com/s/r5jbnp1ogic6w8v/1010211_2.jpg?dl=0,https://www.dropbox.com/s/xk26436ymvmcrv3/1010211_3.jpg?dl=0,https://www.dropbox.com/s/4a85516g2f4e5xd/1010211_4.jpg?dl=0,https://www.dropbox.com/s/dzh4xfvcy5q2v5s/1010211_5.jpg?dl=0,https://www.dropbox.com/s/69gxbus5qzhndw2/1010211_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010301,3022130050325F,Copenhagen,2+4 Drawer Chest White,"2 + 4 Drawer Chest in attractive white MDF is a beautifully crafted solid chest of drawers for the bedroom. Top 2 small drawers for knick knacks, and 4 wider drawers to store folding clothes. All drawers are on easy glide runners with cam lok system on fronts. The modern design in white MDF is finished with a smooth lacquer making this an attractive choice for any bedroom. Why not complete with matching bedside and 2 Drawer wardrobe to offer your customer great package deal.","White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664234,825,899,384,30.4,1,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/zm8b0t7a0qq7mlp/1010301_ai.pdf?dl=0,https://www.dropbox.com/s/9noo4cg2zzhgfwh/1010301_1.jpg?dl=0,https://www.dropbox.com/s/pi2rnlcs6h1flor/1010301_2.jpg?dl=0,https://www.dropbox.com/s/tjp23imoyqxvz18/1010301_3.jpg?dl=0,https://www.dropbox.com/s/ykqhy7mxmywbvpa/1010301_4.jpg?dl=0,https://www.dropbox.com/s/0m6fqhgctir6jrn/1010301_5.jpg?dl=0,https://www.dropbox.com/s/v4t2tea5v5w5r7x/1010301_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010302,3022130246325F,Copenhagen,2+4 Drawer Chest Cream and Pine,"2 + 4 Drawer Chest in attractive Cream MDF/Pine is a beautifully crafted solid chest of drawers for the bedroom. Top 2 small drawers for knick knacks, and 4 wider drawers to store folding clothes. All drawers are on easy glide runners with cam lok system on fronts. The modern design in white MDF is finished with a smooth lacquer making this an attractive choice for any bedroom. Why not complete with matching bedside and 2 Drawer wardrobe to offer your customer great package deal.","Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681392,825,899,384,30.4,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/jmodd8mj4l2fdha/1010302_ai.pdf?dl=0,https://www.dropbox.com/s/ducwptib88db87f/1010302_1.jpg?dl=0,https://www.dropbox.com/s/u8w8jmns21bi5vu/1010302_2.jpg?dl=0,https://www.dropbox.com/s/sel89fx657sdi3s/1010302_3.jpg?dl=0,https://www.dropbox.com/s/mqeiug7iav886lf/1010302_4.jpg?dl=0,https://www.dropbox.com/s/87bdtohsg11gq2k/1010302_5.jpg?dl=0,https://www.dropbox.com/s/leaf68xvmd6hfmt/1010302_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010311,3022130034325F,Copenhagen,2+4 Drawer Chest Pine,"2 + 4 Drawer Chest in Pine is a beautifully crafted solid pine chest of drawers for the bedroom. Top 2 small drawers for small items, and 4 wider drawers to store folding clothes. All drawers are on easy glide runners with cam lok system on fronts. The traditional design in solid pine, finished with a smooth stained lacquer makes this an attractive choice for any bedroom. Why not complete with matching bedside and 2 Drawer wardrobe to offer your customer great package deal.","Pine  (excludes backs, drawer base and drawer sides)",5706036664081,825,899,384,22.2,1,Solid Antique lacquered pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/h8w6k8d95k2124o/1010311_ai.pdf?dl=0,https://www.dropbox.com/s/pbqjlchoq0rqwxo/1010311_1.jpg?dl=0,https://www.dropbox.com/s/4oomarsx4rh5dyr/1010311_2.jpg?dl=0,https://www.dropbox.com/s/8u0pkzqiue9j44p/1010311_3.jpg?dl=0,https://www.dropbox.com/s/ra4rvuh4h4mttzs/1010311_4.jpg?dl=0,https://www.dropbox.com/s/yu0pf5th6wla1ma/1010311_5.jpg?dl=0,https://www.dropbox.com/s/fvvafv5q9cb6wpz/1010311_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010401,3022170050325F,Copenhagen,2+3+4 Drawer Chest White,"2 + 3 + 4 Drawer Extra wide chest in attractive white MDF is a large, stylish solid chest of drawers with lots of storage space. The top makes a nice area for a mirror or photos and the total of 9 easy gliding drawers with cam lok drawer fronts gives lots of storage space. Crafted from white MDF and finished with a smooth lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching dressing table which is same height.","White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664258,1209,739,384,39.4,1,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/qt8t4bx52vwfykx/1010401_ai.pdf?dl=0,https://www.dropbox.com/s/ur81u1umlveghyx/1010401_1.jpg?dl=0,https://www.dropbox.com/s/qtgf8203lb08rfp/1010401_2.jpg?dl=0,https://www.dropbox.com/s/vqrquesgkd4xrn9/1010401_3.jpg?dl=0,https://www.dropbox.com/s/2dfq8mbh653icsq/1010401_4.jpg?dl=0,https://www.dropbox.com/s/7nh8xd6yk5bgzht/1010401_5.jpg?dl=0,https://www.dropbox.com/s/e0plxgyr0nk0vud/1010401_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
